Tên tr??ng,N?m,Mã ngành,Tên ngành,T? h?p môn,?i?m chu?n,Ghi chú
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - A),A,27,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - A1),A1,25.75,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - C),C,25.5,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (Nam - D1),D1,24.5,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - A),A,28.75,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - A1),A1,27.5,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - C),C,29,
H?c Vi?n An Ninh Nhân Dân,2015,7860102,?i?u tra trinh sát (N? - D1),D1,27.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (Nam - A),A,27.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (Nam - A1),A1,26.25,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (N? - A),A,29,
H?c Vi?n An Ninh Nhân Dân,2015,7480201,Công ngh? thông tin (N? - A1),A1,27.25,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (Nam - A),A,25.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (Nam - A1),A1,25.5,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (N? - A),A,28.25,
H?c Vi?n An Ninh Nhân Dân,2015,7480202,An toàn thông tin (N? - A1),A1,27.75,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (Nam - A),A,26.5,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (Nam - C),C,25.75,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (Nam - D1),D1,24,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (N? - A),A,29.25,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (N? - C),C,30,
H?c Vi?n An Ninh Nhân Dân,2015,7380101,Lu?t (N? - D1),D1,27,
H?c Vi?n An Ninh Nhân Dân,2015,7220201,Ngôn ng? Anh (Nam - D1),D1,23.69,
H?c Vi?n An Ninh Nhân Dân,2015,7220201,Ngôn ng? Anh (N? - D1),D1,28.25,
H?c Vi?n An Ninh Nhân Dân,2015,7220204,Ngôn ng? Trung Qu?c (Nam),D1,21.75,
H?c Vi?n An Ninh Nhân Dân,2015,7220204,Ngôn ng? Trung Qu?c (N?),D1,26.94,
H?c Vi?n An Ninh Nhân Dân,2016,7480202_DS,An toàn thông tin (h? dân s?),A00; A01; D01,---,
H?c Vi?n An Ninh Nhân Dân,2016,7480201_DS,Công ngh? thông tin (h? dân s?),A00; A01; D01,15,
H?c Vi?n An Ninh Nhân Dân,2016,7380101_DS,Lu?t (h? dân s?),A00; A01; C03; D01,15,
H?c Vi?n An Ninh Nhân Dân,2016,7860100,?i?u tra trinh sát (N?),D01,27.75,
