Tên trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,19.03,Điểm trúng tuyển nam; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,19.62,Điểm trúng tuyển nam; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,20.53,Điểm trúng tuyển nam; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,20.33,Điểm trúng tuyển nam; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,23.88,Điểm trúng tuyển nữ; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,25.66,Điểm trúng tuyển nữ; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,24.92,Điểm trúng tuyển nữ; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,25.3,Điểm trúng tuyển nữ; Địa bàn 1
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,21.61,"Điểm trúng tuyển nam; Địa bàn 2; Tiêu chí phụ: Thí sinh có tổng điểm của 03 môn thuộc tổ hợp xét tuyển (chiếm tỷ lệ 40%) và điểm bài thi Bộ Công an (chiếm tỷ lệ 60%) được quy về thang điểm 30 làm tròn đến 02 chữ số thập phân (không tính điểm ưu tiên, điểm thưởng) đạt 21.11đ"
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,22.39,Điểm trúng tuyển nam; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,21.84,Điểm trúng tuyển nam; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,21.89,Điểm trúng tuyển nam; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,24.69,Điểm trúng tuyển nữ; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,23.16,Điểm trúng tuyển nữ; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,24.56,Điểm trúng tuyển nữ; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,22.44,Điểm trúng tuyển nữ; Địa bàn 2
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,20.06,Điểm trúng tuyển nam; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,20.92,Điểm trúng tuyển nam; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,21.63,Điểm trúng tuyển nam; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,20.96,Điểm trúng tuyển nam; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,22.13,Điểm trúng tuyển nữ; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,24.94,Điểm trúng tuyển nữ; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,25.3,Điểm trúng tuyển nữ; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,24.64,Điểm trúng tuyển nữ; Địa bàn 3
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,19.12,Điểm trúng tuyển nam; Địa bàn 8
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,19.47,Điểm trúng tuyển nam; Địa bàn 8
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,20.24,Điểm trúng tuyển nam; Địa bàn 8
Học Viện An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,18.3,Điểm trúng tuyển nam; Địa bàn 8
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A00,21.84,"Điểm trúng tuyển nam, Phía bắc"
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A01,17.94,"Điểm trúng tuyển nam, Phía bắc"
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A00,21.85,"Điểm trúng tuyển nữ, Phía bắc"
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A01,23.26,"Điểm trúng tuyển nữ, Phía bắc"
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A00,18.89,Điểm trúng tuyển nam; Phía Nam
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A01,17.67,Điểm trúng tuyển nam; Phía Nam
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A00,21.22,Điểm trúng tuyển nữ; Phía Nam
Học Viện An Ninh Nhân Dân,7480202,An toàn thông tin,A01,22,Điểm trúng tuyển nữ; Phía Nam
Học Viện An Ninh Nhân Dân,7720101,Y khoa,B00,15.64,Điểm trúng tuyển nam; Phía Bắc
Học Viện An Ninh Nhân Dân,7720101,Y khoa,B00,15.1,Điểm trúng tuyển nam; Phía Nam
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,18.3,Điểm trúng tuyển nam; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,17.91,Điểm trúng tuyển nam; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,20.59,Điểm trúng tuyển nam; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,18.29,Điểm trúng tuyển nam; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,21.23,Điểm trúng tuyển nữ; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,23.3,Điểm trúng tuyển nữ; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,23.4,Điểm trúng tuyển nữ; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,23.79,Điểm trúng tuyển nữ; Địa bàn 4
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,18.9,Điểm trúng tuyển nam; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,19.87,Điểm trúng tuyển nam; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,19.97,Điểm trúng tuyển nam; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,21.07,Điểm trúng tuyển nam; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A00,22.25,Điểm trúng tuyển nữ; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,A01,22.82,Điểm trúng tuyển nữ; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,C03,23.35,Điểm trúng tuyển nữ; Địa bàn 5
Đại Học An Ninh Nhân Dân,7860100,Nghiệp vụ An ninh,D01,23.38,Điểm trúng tuyển nữ; Địa bàn 5
